"gene","coef","gene_symbol","fold"
"ENSG00000170323",-0.148751695207893,"FABP4",1
"ENSG00000185507",0.0165959278809352,"IRF7",1
"ENSG00000000003",0,"TSPAN6",1
"ENSG00000163735",-0.00577283973507534,"CXCL5",2
"ENSG00000185507",0.0208076070252435,"IRF7",2
"ENSG00000185885",0.103567230407619,"IFITM1",2
"ENSG00000170323",-0.0481865435102181,"FABP4",3
"ENSG00000185507",0.0102964068729178,"IRF7",3
"ENSG00000185897",0.107519200339918,"FFAR3",3
"ENSG00000170323",-0.134940017907648,"FABP4",4
"ENSG00000185507",0.0705113349640398,"IRF7",4
"ENSG00000185897",0.0142870681746923,"FFAR3",4
"ENSG00000170323",-0.183113694680473,"FABP4",5
"ENSG00000185507",0.0134071546808339,"IRF7",5
"ENSG00000000003",0,"TSPAN6",5
