"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",118,0.761699134634408,2.31548358740212,5.94630503588429e-19,2.97315251794214e-17,2.06555859141244e-17,797,"tags=49%, list=13%, signal=44%","MX1/ISG15/IFIT3/GCH1/CXCL10/C1R/IDO1/STAT1/MTHFD2/CFB/LAP3/ZBP1/OASL/NMI/SERPING1/PNP/CXCL11/DHX58/RTP4/C1S/RIGI/PML/PSMB2/CCL7/TNFAIP6/IL6/WARS1/PSMA2/PTPN1/UPP1/CASP3/TRIM21/B2M/MVP/GZMA/ICAM1/OGFR/IFIT2/PSME2/HLA-G/CCL2/FCGR1A/PSMB10/IFIH1/CCL5/STAT3/ITGB7/SOD2/CFH/PLA2G4A/NAMPT/UBE2L6/LGALS3BP/CD69/PTPN2/VCAM1/IL18BP/PNPT1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",50,0.803212921198129,2.18660564510079,1.04331770219893e-10,2.60829425549733e-09,1.81207811434552e-09,219,"tags=42%, list=3%, signal=41%","MX1/ISG15/IFIT3/OAS1/CXCL10/LAP3/GBP2/OASL/NMI/CXCL11/UBA7/DHX58/RTP4/C1S/SELL/WARS1/TRIM21/B2M/OGFR/IFIT2/PSME2"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",147,0.579619132359865,1.80309183679347,1.03905997059536e-06,1.73176661765893e-05,1.20312207121568e-05,883,"tags=37%, list=14%, signal=33%","GZMB/GZMK/C1R/CFB/LAP3/SERPING1/CR1/C1S/C9/IL6/APOA4/CASP3/S100A12/F5/PRCP/SERPINB2/GZMA/APOBEC3G/PLEK/MMP8/LYN/FN1/PCSK9/C3/S100A9/SERPINC1/SPOCK2/C2/CD55/USP14/F10/EHD1/HSPA5/CCL5/APOC1/GCA/C1QC/GMFB/TIMP2/SRC/PLAUR/CFH/VCPIP1/PLA2G4A/F8/F7/ITIH1/CDA/CTSD/PIK3CG/GRB2/LCK/SERPINA1/TIMP1/PFN1"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",119,0.583928571848346,1.77377010358595,5.98355805683459e-06,7.47944757104323e-05,5.19624778619846e-05,1127,"tags=39%, list=18%, signal=33%","RACK1/HDAC2/PA2G4/PCNA/HPRT1/PSMB2/CTPS1/PSMA2/RRM1/EIF4E/TRA2B/SYNCRIP/SNRPA/EIF2S1/HSP90AB1/LDHA/APEX1/KPNB1/KARS1/HNRNPA2B1/KPNA2/PABPC4/HNRNPA1/ERH/RAN/CCT5/PSMA7/GOT2/PPIA/SRPK1/RPS3/SSB/HNRNPD/NCBP1/CDK2/TYMS/DUT/PSMA4/SRSF7/TRIM28/SNRPA1/SET/PCBP1/PGK1/CBX3/PSMD7/FBL"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",112,0.580840510005005,1.74661529575,1.08577697708585e-05,0.000108577697708585,7.54329268291221e-05,677,"tags=29%, list=11%, signal=27%","PSAT1/MTHFD2/GPI/SHMT2/PNP/HPRT1/GMPS/GAPDH/WARS1/SDF2L1/IDH1/PPA1/ALDOA/HSP90B1/TPI1/GSR/IDI1/LDHA/RAB1A/G6PD/CFP/RPN1/HSPA5/STIP1/QDPR/PPIA/PHGDH/NAMPT/ENO1/ERO1A/HK2/TXNRD1/DAPP1"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION",109,0.575108874269387,1.72646874734287,2.97478577253599e-05,0.000247898814377999,0.00017222443946261,947,"tags=38%, list=15%, signal=33%","C1R/MMP1/CFB/FGG/SERPING1/VWF/APOA1/C1S/C9/MMP2/SERPINB2/PLEK/MMP8/FN1/A2M/C3/DCT/F13B/TF/MMP3/SERPINC1/CFI/F11/C2/F10/APOC1/CFH/CPN1/MMP9/F8/ITIH1/F9/COMP/C8G/THBS1/SERPINA1/TIMP1/PROC/PROS1/SERPINE1/ANXA1"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",95,0.5654265471324,1.67062924281899,0.000165231812924047,0.00118022723517176,0.000819947342329857,1068,"tags=33%, list=17%, signal=28%","MTHFD2/PA2G4/PCNA/EED/CDKN3/CTPS1/SMC3/SHMT1/TRA2B/SYNCRIP/EIF2S1/NUDT21/KPNA2/DCTPP1/SLBP/RAN/RAD1/AK2/CNOT9/ZW10/POP7/PSIP1/HNRNPD/HMGB3/DCK/DUT/CHEK1/CHEK2/RAD51C/MRE11/TMPO"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",142,0.516859765991832,1.60528569773008,0.000283793331948032,0.0017737083246752,0.00123226052030066,1226,"tags=30%, list=19%, signal=24%","GZMB/STAT1/GBP2/CCL7/IL6/ELANE/WARS1/B2M/FGR/GZMA/ICAM1/LYN/MAP4K1/HLA-G/CCL2/SPI1/C2/PSMB10/CFP/AARS1/CCL5/PRKCB/MMP9/DARS1/CSK/RPS19/CD8A/LCK/HCLS1/IL9/TIMP1/TLR2/ICOSLG/TLR1/THY1/CCL19/ZAP70/IL10/LTB/LY86/GALNT1/CXCL9"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",57,0.621067590986102,1.71655666587579,0.000330336462781785,0.00183520257100992,0.00127498283880689,1175,"tags=39%, list=19%, signal=32%","PSAT1/MTHFD2/EIF4E/TARS1/HSP90B1/CCL2/EIF2S1/EIF4G1/PDIA6/PDIA5/HSPA5/YWHAZ/ERO1A/HYOU1/EDC4/NABP1/EXOSC5/HSPA9/SLC30A5/EIF4A2/RPS14/SHC1"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",124,0.508540903340695,1.55363419105331,0.00117456979740178,0.00587284898700892,0.00408008455939567,928,"tags=30%, list=15%, signal=26%","GCH1/CRP/CFB/ITIH4/APOE/PGD/SHMT2/HMOX1/HPRT1/POR/UPP1/IDH1/NQO1/PTGDS/GSR/F11/PSMB10/KARS1/F10/ACOX1/LONP1/MTHFD1/AHCY/GSTO1/VTN/ANGPTL3/FAH/GABARAPL1/ARG1/ITIH1/CDA/DHPS/IGFBP4/PROS1/ASL/SERPINE1/BLVRB"
